Graph 1_sub
12 11
4 1 4 1 4 4 1 4 2 1 3 2 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
7 10
7 9
9 11
11 12

Graph 2_sub
12 12
4 1 1 1 4 1 4 1 4 1 4 1 
1 2
2 4
2 3
3 6
3 5
4 12
4 10
6 8
6 7
8 10
8 9
10 11

Graph 3_sub
12 11
1 5 1 1 1 1 1 1 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
7 10
7 9
9 12
9 11

Graph 4_sub
12 11
1 1 6 1 1 1 1 4 1 4 1 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
7 10
7 9
9 12
9 11

Graph 5_sub
12 11
4 1 6 4 1 2 2 2 4 6 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
5 12
5 11
5 10
6 9

Graph 6_sub
12 11
4 1 4 1 2 4 4 4 7 2 2 5 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
5 9
9 12
9 11
9 10

Graph 7_sub
12 11
2 1 2 1 4 1 1 1 2 1 4 4 
1 2
2 4
2 3
3 5
4 7
4 6
6 9
6 8
8 11
8 10
10 12

Graph 8_sub
12 12
4 1 2 1 1 1 1 4 4 1 1 1 
1 2
2 4
2 3
3 5
4 10
5 8
5 7
5 6
6 11
6 10
6 9
10 12

Graph 9_sub
12 11
1 1 1 4 1 5 6 1 6 1 1 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
7 9
9 10
10 12
10 11

Graph 10_sub
12 12
1 4 1 1 4 1 1 4 4 1 6 6 
1 4
1 3
1 2
3 6
3 5
4 10
6 8
6 7
7 10
7 9
10 11
11 12

Graph 11_sub
12 11
4 1 4 1 4 1 1 1 4 4 1 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
6 11
6 10
6 9
11 12

Graph 12_sub
12 11
1 6 1 1 6 1 1 1 1 4 1 4 
1 4
1 3
1 2
2 5
5 6
6 8
6 7
7 10
7 9
9 12
9 11

Graph 13_sub
12 11
1 6 1 1 6 1 1 1 1 1 2 2 
1 4
1 3
1 2
2 5
5 6
6 8
6 7
7 10
7 9
9 12
9 11

Graph 14_sub
12 11
4 1 4 1 1 1 4 4 5 2 1 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
6 10
6 9
9 12
9 11

Graph 15_sub
12 11
4 1 1 1 4 1 1 6 1 1 4 1 
1 2
2 4
2 3
3 6
3 5
6 8
6 7
7 10
7 9
9 12
9 11

Graph 16_sub
12 11
7 2 5 1 2 1 4 4 1 4 4 4 
1 5
1 4
1 3
1 2
2 6
6 9
6 8
6 7
9 12
9 11
9 10

Graph 17_sub
12 11
4 1 1 1 4 1 4 1 7 1 5 5 
1 2
2 4
2 3
3 6
3 5
6 8
6 7
8 10
8 9
9 12
9 11

Graph 18_sub
12 11
1 4 1 1 4 1 4 1 1 5 4 4 
1 4
