Graph 1_sub
24 24
4 1 4 4 1 4 1 4 2 1 3 2 2 2 1 1 1 4 1 4 1 4 4 1 
1 2
2 5
2 4
2 3
5 8
5 7
5 6
7 10
7 9
9 11
11 14
11 13
11 12
12 15
13 19
15 17
15 16
16 20
16 19
16 18
19 21
21 24
21 23
21 22

Graph 2_sub
24 23
1 4 1 1 1 4 1 1 4 1 4 2 1 3 2 2 2 1 1 1 1 1 1 4 
1 4
1 3
1 2
3 6
3 5
5 8
5 7
7 10
7 9
8 13
8 12
10 11
12 14
14 17
14 16
14 15
15 18
18 20
18 19
19 22
19 21
21 24
21 23

Graph 3_sub
24 25
1 1 5 1 1 6 1 1 1 4 1 4 4 1 4 1 4 1 1 1 4 1 4 1 
1 4
1 3
1 2
2 6
2 5
4 16
5 8
5 7
6 18
7 10
7 9
8 16
8 14
9 12
9 11
11 14
11 13
14 15
16 17
18 20
18 19
19 22
19 21
22 24
22 23

Graph 4_sub
24 24
1 1 1 1 1 4 1 4 5 1 4 4 4 6 2 2 2 4 1 4 4 1 1 1 
1 4
1 3
1 2
2 6
2 5
3 14
3 10
4 20
4 19
5 8
5 7
7 10
7 9
9 12
9 11
10 13
14 17
14 16
14 15
15 18
19 22
19 21
22 24
22 23

Graph 17618_sub
24 24
1 4 4 1 1 2 5 1 6 5 4 1 4 4 5 2 1 4 1 1 1 1 1 4 
1 5
1 4
1 3
1 2
4 7
4 6
5 14
5 13
5 12
6 8
7 10
8 10
8 9
10 11
12 16
12 15
15 18
15 17
17 20
17 19
19 22
19 21
21 24
21 23

Graph 6_sub
24 23
4 1 1 4 4 2 4 4 7 2 2 5 1 4 4 1 4 4 4 1 4 1 1 1 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
6 9
9 12
9 11
9 10
11 13
12 21
12 20
13 16
13 15
13 14
16 19
16 18
16 17
20 23
20 22
22 24

Graph 2333_sub
24 24
1 1 1 1 4 1 1 4 4 1 4 5 2 1 5 4 1 4 1 4 4 1 1 1 
1 4
1 3
1 2
2 6
2 5
3 13
3 12
4 10
6 8
6 7
7 10
7 9
10 11
12 15
12 14
14 18
14 17
14 16
17 21
17 20
17 19
19 23
19 22
22 24

Graph 8_sub
24 25
1 1 1 2 1 1 2 2 4 1 2 1 1 1 1 1 4 4 2 1 4 4 4 4 
1 4
1 3
1 2
2 6
2 5
3 12
5 8
5 7
6 11
6 10
7 9
10 13
10 12
12 14
13 19
14 17
14 16
14 15
15 20
15 19
15 18
16 24
20 23
20 22
20 21

Graph 9_sub
24 25
4 1 1 1 1 5 4 1 1 5 6 6 1 1 1 5 1 2 2 1 4 1 5 4 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
8 10
8 9
9 11
11 12
12 13
13 15
13 14
14 17
14 16
15 22
16 19
16 18
17 21
17 20
20 23
20 22
22 24

Graph 10_sub
24 25
4 1 1 1 4 1 4 1 1 6 5 2 2 6 1 1 1 4 1 4 1 1 4 4 
1 2
2 4
2 3
3 6
3 5
4 9
6 8
6 7
8 10
8 9
9 11
10 14
11 13
11 12
14 15
15 17
15 16
16 19
16 18
17 22
19 21
19 20
21 23
21 22
22 24

Graph 11_sub
24 23
1 1 4 4 4 1 1 1 4 1 4 1 4 4 2 2 4 4 4 4 4 1 4 4 
1 5
1 4
1 3
1 2
2 8
2 7
2 6
6 11
6 10
6 9
7 20
7 19
7 18
8 23
8 22
8 21
10 14
10 13
10 12
12 16
12 15
15 17
22 24

Graph 12_sub
24 23
4 2 1 1 2 4 1 4 1 1 1 4 1 4 6 1 6 1 1 1 4 1 1 4 
1 2
2 3
3 5
3 4
4 8
4 7
4 6
7 10
7 9
9 12
9 11
11 14
11 13
13 16
13 15
15 17
17 18
18 20
18 19
19 22
19 21
22 24
22 23

Graph 13_sub
24 25
1 1 6 1 1 4 4 1 4 1 4 6 1 1 1 1 4 4 1 4 1 4 1 2 
1 4
1 3
1 2
2 6
2 5
3 12
4 10
5 8
5 7
8 10
8 9
10 11
12 13
13 15
13 14
14 17
14 16
15 23
15 21
16 19
16 18
19 21
19 20
21 22
23 24

Graph 14_sub
24 23
4 1 4 1 1 4 1 4 4 4 4 1 4 4 1 4 4 1 4 4 4 1 4 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
5 14
5 13
5 12
7 11
7 10
7 9
12 17
12 16
12 15
15 20
15 19
15 18
18 23
18 22
18 21
22 24

Graph 18902_sub
24 25
4 1 1 1 1 1 1 1 1 4 4 1 4 4 1 1 1 4 1 1 1 1 1 4 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
6 15
7 10
7 9
8 13
8 12
9 11
12 15
12 14
15 16
16 18
16 17
17 20
17 19
19 22
19 21
21 24
21 23

Graph 16_sub
24 24
2 7 1 5 2 1 4 4 1 1 1 4 4 1 1 4 4 4 4 1 4 4 4 4 
1 3
1 2
2 6
2 5
2 4
3 21
3 20
3 19
4 8
4 7
6 10
6 9
9 12
9 11
10 18
10 15
11 14
11 13
14 16
14 15
15 17
20 24
20 23
20 22

Graph 14737_sub
24 25
1 4 1 1 4 1 1 4 1 4 4 6 1 2 1 1 1 4 4 1 1 4 4 4 
1 4
1 3
1 2
3 6
3 5
4 12
4 9
6 8
6 7
7 10
7 9
9 11
12 14
12 13
13 16
13 15
15 18
15 17
16 24
16 21
17 20
17 19
20 22
20 21
21 23

Graph 18_sub
24 24
1 1 4 1 1 5 4 1 1 4 4 7 4 5 2 5 1 4 1 1 1 4 4 1 
1 4
1 3
1 2
2 6
2 5
4 9
5 8
5 7
6 13
6 12
8 10
8 9
9 11
12 16
12 15
12 14
14 18
14 17
17 20
17 19
19 22
19 21
21 24
21 23

Graph 19_sub
24 25
1 1 1 4 1 4 2 1 1 1 1 1 4 4 1 4 1 4 4 4 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
3 23
3 21
5 8
5 7
7 9
8 21
8 20
9 11
9 10
10 13
10 12
11 19
11 17
12 15
12 14
15 17
15 16
17 18
21 22
23 24

Graph 20_sub
24 24
4 1 1 1 1 7 4 1 1 4 5 2 2 2 5 2 1 1 4 1 1 4 4 4 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
6 16
6 15
6 14
8 10
8 9
9 11
11 13
11 12
15 18
15 17
17 21
17 20
17 19
20 24
20 23
20 22

Graph 37462_sub
24 24
2 1 2 1 1 4 4 1 4 4 4 6 4 4 1 5 5 1 2 1 4 1 1 1 
1 2
2 4
2 3
3 5
4 14
4 13
4 12
5 8
5 7
5 6
8 11
8 10
8 9
12 15
15 17
15 16
16 18
17 22
18 20
18 19
19 21
20 23
20 22
22 24

Graph 7351_sub
24 24
5 1 5 5 5 1 1 5 1 1 4 4 1 1 1 4 2 1 1 4 4 4 2 1 
1 3
1 2
2 5
2 4
3 7
4 6
6 8
6 7
7 9
9 12
9 11
9 10
10 14
10 13
13 16
13 15
15 18
15 17
17 19
18 24
18 23
19 22
19 21
19 20

Graph 23_sub
24 24
1 4 4 4 1 1 1 4 1 4 1 4 1 4 5 4 1 5 5 4 4 1 1 1 
1 5
1 4
1 3
1 2
5 7
5 6
6 9
6 8
7 15
7 13
9 11
9 10
11 13
11 12
13 14
15 17
15 16
17 19
17 18
18 20
19 22
19 21
22 24
22 23

Graph 24_sub
24 23
1 4 4 1 4 4 1 4 5 4 4 4 7 5 6 5 1 4 4 4 1 4 4 1 
1 5
1 4
1 3
1 2
4 8
4 7
4 6
7 11
7 10
7 9
9 13
9 12
13 16
13 15
13 14
14 18
14 17
17 21
17 20
17 19
21 24
21 23
21 22

Graph 25_sub
24 23
4 1 1 4 1 4 4 1 1 4 4 4 4 4 4 4 1 4 4 1 1 4 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
5 17
5 16
5 15
8 11
8 10
8 9
9 14
9 13
9 12
17 20
17 19
17 18
20 23
20 22
20 21
21 24

Graph 27610_sub
24 25
1 1 1 4 2 1 4 1 4 1 2 1 1 1 4 1 4 1 1 4 1 1 4 2 
1 4
1 3
1 2
2 6
2 5
3 10
5 7
6 9
6 8
8 11
8 10
10 12
11 13
12 15
12 14
12 13
13 17
13 16
16 19
16 18
18 21
18 20
21 23
21 22
22 24

Graph 27_sub
24 24
4 1 1 4 1 4 1 4 1 4 5 4 1 4 4 4 7 4 5 5 6 4 1 1 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
5 13
7 11
7 10
7 9
9 14
9 13
9 12
11 18
11 17
13 16
13 15
17 21
17 20
17 19
19 23
19 22
23 24

Graph 1045_sub
24 24
4 1 1 4 1 4 6 4 2 1 2 4 4 4 2 1 1 1 4 4 1 4 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
5 15
5 14
5 10
7 11
7 10
7 9
10 13
10 12
15 16
16 19
16 18
16 17
17 22
17 21
17 20
21 24
21 23

Graph 29_sub
24 23
1 1 4 1 4 1 1 4 1 1 2 2 2 1 2 1 1 1 4 1 4 1 1 4 
1 4
1 3
1 2
2 6
2 5
6 8
6 7
7 10
7 9
9 12
9 11
12 13
13 14
14 16
14 15
16 18
16 17
17 20
17 19
20 22
20 21
22 24
22 23

Graph 41672_sub
24 23
4 1 2 1 4 7 2 2 1 1 4 1 4 4 4 4 1 1 1 4 1 1 4 2 
1 2
2 5
2 4
2 3
3 6
6 9
6 8
6 7
8 10
9 19
9 18
9 17
10 13
10 12
10 11
12 16
12 15
12 14
17 22
17 21
17 20
21 24
21 23

Graph 37857_sub
24 24
4 1 4 1 4 1 5 1 4 4 4 1 2 5 5 1 1 2 1 1 1 4 4 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
6 11
6 10
6 9
7 13
7 12
12 15
12 14
13 16
14 17
14 16
16 18
17 21
17 20
17 19
19 24
19 23
19 22

Graph 32_sub
24 25
4 1 4 5 4 1 1 4 4 4 6 6 9 6 6 1 5 1 1 4 4 4 4 4 
1 2
2 5
2 4
2 3
4 7
4 6
6 10
6 9
6 8
7 12
7 11
11 13
12 13
13 15
13 14
14 16
15 16
16 17
17 19
17 18
18 22
18 21
18 20
19 24
19 23

Graph 33_sub
24 24
4 5 4 1 1 5 5 1 1 1 1 4 5 4 5 4 1 1 1 1 1 4 4 1 
1 2
2 4
2 3
4 6
4 5
5 8
5 7
7 9
8 13
9 11
9 10
10 13
10 12
11 16
11 15
11 14
15 18
15 17
17 20
17 19
19 22
19 21
21 24
21 23

Graph 23060_sub
24 23
4 1 4 1 4 1 1 4 4 4 1 4 1 4 4 1 1 1 2 1 1 2 1 4 
1 2
2 5
2 4
2 3
4 7
4 6
6 10
6 9
6 8
7 12
7 11
11 15
11 14
11 13
13 17
13 16
16 19
16 18
18 21
18 20
20 23
20 22
22 24

Graph 24166_sub
24 24
1 5 2 1 5 1 1 1 1 4 4 4 1 4 1 1 1 1 4 2 1 1 4 4 
1 4
1 3
1 2
2 6
2 5
5 7
6 9
7 9
7 8
8 12
8 11
8 10
9 13
13 15
13 14
15 17
15 16
16 19
16 18
18 21
18 20
20 22
22 24
22 23

Graph 36_sub
24 23
6 2 1 2 2 4 4 4 1 4 4 1 4 1 4 4 1 4 4 4 2 6 2 1 
1 5
1 4
1 3
1 2
3 8
3 7
3 6
4 9
9 12
9 11
9 10
12 15
12 14
12 13
14 18
14 17
14 16
17 21
17 20
17 19
21 22
22 24
22 23

Graph 3534_sub
23 24
2 5 1 2 1 1 1 4 4 1 1 4 4 7 2 2 2 1 4 4 1 4 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7
6 14
6 11
7 10
7 9
10 12
10 11
11 13
14 17
14 16
14 15
15 18
17 21
18 21
18 20
18 19
21 23
21 22

Graph 14145_sub
24 25
