Graph 1_sub
20 19
4 1 1 1 4 4 4 4 1 2 4 4 1 1 2 1 4 4 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
4 10
4 9
9 13
9 12
9 11
13 15
13 14
14 18
14 17
14 16
16 20
16 19

Graph 2_sub
20 20
4 1 1 1 4 1 1 1 2 1 3 2 2 2 1 1 4 1 4 1 
1 2
2 4
2 3
3 6
3 5
6 8
6 7
7 10
7 9
9 11
10 15
11 14
11 13
11 12
12 15
15 16
16 18
16 17
18 20
18 19

Graph 3_sub
20 20
4 1 1 1 4 1 1 4 6 1 1 1 1 1 5 4 1 1 4 1 
1 2
2 4
2 3
3 6
3 5
6 8
6 7
7 10
7 9
9 11
11 13
11 12
12 15
12 14
13 18
14 17
14 16
17 19
17 18
18 20

Graph 4_sub
20 20
1 1 4 1 1 6 1 1 1 4 4 4 1 1 4 1 1 6 1 2 
1 4
1 3
1 2
2 6
2 5
4 9
5 8
5 7
7 10
7 9
8 13
8 12
9 11
13 15
13 14
14 17
14 16
16 19
16 18
18 20

Graph 37396_sub
20 21
1 4 1 1 1 5 1 5 4 1 4 1 1 5 5 4 6 2 2 1 
1 4
1 3
1 2
3 6
3 5
4 10
5 8
5 7
6 13
7 10
7 9
8 12
10 11
12 14
12 13
13 15
15 17
15 16
17 20
17 19
17 18

Graph 6_sub
20 19
1 1 1 4 4 1 4 1 5 1 7 4 2 2 2 1 1 4 4 4 
1 4
1 3
1 2
2 6
2 5
6 8
6 7
8 10
8 9
9 12
9 11
11 15
11 14
11 13
13 16
16 19
16 18
16 17
17 20

Graph 41612_sub
20 19
5 4 1 1 4 4 1 4 4 5 1 1 4 4 4 4 4 4 1 1 
1 4
1 3
1 2
3 7
3 6
3 5
4 20
4 19
7 10
7 9
7 8
10 12
10 11
11 15
11 14
11 13
12 18
12 17
12 16

Graph 8_sub
20 20
1 1 1 2 1 1 1 1 1 1 2 4 2 4 1 4 1 4 4 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
7 10
7 9
8 15
9 11
10 14
10 13
11 12
13 15
15 17
15 16
17 20
17 19
17 18

Graph 9_sub
20 20
2 5 2 1 1 1 1 4 1 5 4 1 4 2 2 6 6 1 1 1 
1 2
2 4
2 3
4 6
4 5
5 8
5 7
6 16
6 12
7 10
7 9
9 12
9 11
10 15
10 14
12 13
16 17
17 18
18 20
18 19

Graph 10_sub
20 19
1 1 4 1 5 1 2 2 6 1 6 1 1 1 1 5 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
6 10
6 9
9 11
11 12
12 14
12 13
13 16
13 15
15 18
15 17
17 20
17 19

Graph 11_sub
20 19
4 1 1 1 4 1 1 1 4 4 1 4 1 4 2 2 4 4 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
6 11
6 10
6 9
7 20
7 19
7 18
11 14
11 13
11 12
13 16
13 15
15 17

Graph 12_sub
20 20
1 1 1 1 1 4 4 1 1 6 4 6 1 1 1 1 4 1 4 1 
1 4
1 3
1 2
2 6
2 5
3 9
5 8
5 7
8 10
8 9
9 11
10 12
12 13
13 15
13 14
14 17
14 16
16 19
16 18
18 20

Graph 13_sub
20 20
1 1 1 1 1 6 1 4 4 1 4 6 1 1 1 1 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
3 10
5 8
5 7
6 12
7 10
7 9
10 11
12 13
13 15
13 14
14 17
14 16
16 19
16 18
19 20

Graph 14_sub
20 19
1 4 1 1 6 1 6 1 1 1 4 1 1 4 5 1 4 1 1 2 
1 4
1 3
1 2
3 6
3 5
5 7
7 8
8 10
8 9
9 12
9 11
12 14
12 13
13 16
13 15
15 18
15 17
18 20
18 19

Graph 15_sub
20 21
1 1 1 4 1 1 6 1 4 1 4 1 4 4 1 6 1 4 4 4 
1 4
1 3
1 2
2 6
2 5
3 20
3 17
5 8
5 7
6 15
6 12
7 9
8 11
8 10
10 13
10 12
12 14
15 17
15 16
16 18
17 19

Graph 16_sub
20 20
1 1 1 4 4 1 4 1 4 1 7 2 2 5 1 4 4 1 4 4 
1 4
1 3
1 2
2 6
2 5
