Graph 1_sub
8 7
1 1 4 4 4 4 1 4 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 2_sub
8 7
1 4 1 1 1 1 4 1 
1 4
1 3
1 2
3 6
3 5
5 8
5 7

Graph 3_sub
8 7
4 1 4 4 1 2 5 1 
1 2
2 5
2 4
2 3
5 7
5 6
7 8

Graph 4_sub
8 7
2 6 2 2 1 4 1 1 
1 2
2 5
2 4
2 3
4 6
5 8
5 7

Graph 5_sub
8 7
1 6 4 1 4 2 2 2 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 6_sub
8 7
4 1 1 1 1 8 4 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 7_sub
8 7
2 1 1 2 1 1 4 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 8_sub
8 7
2 1 1 2 1 1 2 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 9_sub
8 7
4 1 1 1 1 4 6 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 10_sub
8 7
4 1 1 1 1 4 1 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 11_sub
8 7
4 1 4 4 1 1 1 1 
1 2
2 5
2 4
2 3
5 8
5 7
5 6

Graph 12_sub
8 7
4 1 1 1 1 1 1 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 13_sub
8 7
6 1 6 1 1 4 1 1 
1 3
1 2
2 5
2 4
4 7
4 6
7 8

Graph 14_sub
8 7
5 1 1 4 1 1 4 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 15_sub
8 7
4 6 1 1 1 1 1 1 
1 2
2 3
3 5
3 4
4 7
4 6
6 8

Graph 16_sub
8 7
1 4 1 1 4 1 1 4 
1 4
1 3
1 2
3 6
3 5
6 8
6 7

Graph 17_sub
8 7
4 1 1 1 1 4 1 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 18_sub
8 7
1 4 1 1 4 1 4 1 
1 4
1 3
1 2
3 6
3 5
6 8
6 7

Graph 19_sub
8 7
4 1 1 1 1 4 1 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 20_sub
8 7
1 4 4 1 4 1 5 4 
1 5
1 4
1 3
1 2
4 8
4 7
4 6

Graph 21_sub
8 7
1 6 1 1 1 1 1 1 
1 4
1 3
1 2
2 5
5 7
5 6
6 8

Graph 22_sub
8 7
4 1 6 4 1 2 2 2 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 23_sub
8 7
1 1 1 4 1 1 4 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 24_sub
8 7
1 1 4 4 1 4 4 5 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 25_sub
8 7
4 1 1 1 4 4 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 26_sub
8 7
1 1 1 4 4 1 1 1 
1 4
1 3
1 2
2 6
2 5
6 8
6 7

Graph 27_sub
8 7
1 4 4 1 1 1 4 4 
1 5
1 4
1 3
1 2
4 8
4 7
4 6

Graph 28_sub
8 7
4 1 1 1 1 8 1 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 29_sub
8 7
4 1 1 1 4 1 1 1 
1 2
2 4
2 3
3 6
3 5
6 8
6 7

Graph 30_sub
8 7
1 1 1 4 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 31_sub
8 7
4 1 1 4 5 4 4 6 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 32_sub
8 7
1 4 4 5 4 1 1 4 
1 5
1 4
1 3
1 2
4 7
4 6
6 8

Graph 33_sub
8 7
4 5 1 4 1 5 1 5 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 34_sub
8 7
1 1 2 2 5 4 1 4 
1 4
1 3
1 2
2 7
2 6
2 5
5 8

Graph 35_sub
8 8
5 5 5 1 1 1 5 1 
1 3
1 2
2 4
3 5
4 6
4 5
5 7
7 8

Graph 36_sub
8 7
1 4 4 4 6 2 2 2 
1 5
1 4
1 3
1 2
5 8
5 7
5 6

Graph 37_sub
8 7
1 5 5 5 1 1 5 5 
1 4
1 3
1 2
2 5
5 7
5 6
6 8

Graph 38_sub
8 7
1 5 5 4 1 1 5 1 
1 4
1 3
1 2
2 5
5 7
5 6
6 8

Graph 39_sub
8 7
1 1 1 1 1 1 4 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 40_sub
8 7
4 1 4 8 1 5 4 4 
1 2
2 5
2 4
2 3
5 8
5 7
5 6

Graph 41_sub
8 7
4 1 4 4 6 2 1 4 
1 2
2 5
2 4
2 3
5 7
5 6
7 8

Graph 42_sub
8 7
1 1 2 4 4 1 4 4 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 43_sub
8 7
4 1 4 1 1 4 1 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 44_sub
8 7
1 2 1 1 1 10 2 2 
1 5
1 4
1 3
1 2
2 6
6 8
6 7

Graph 45_sub
8 7
4 1 1 1 1 4 5 4 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 46_sub
8 7
1 1 5 1 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 47_sub
8 7
1 8 1 1 1 6 4 1 
1 4
1 3
1 2
3 6
3 5
5 8
5 7

Graph 48_sub
8 7
4 1 1 1 4 1 1 6 
1 2
2 4
2 3
3 6
3 5
6 8
6 7

Graph 49_sub
8 7
4 1 1 1 1 4 1 6 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 50_sub
8 7
4 1 1 4 4 1 1 1 
1 2
2 5
2 4
2 3
3 7
3 6
6 8

Graph 51_sub
8 7
4 1 2 4 4 1 1 1 
1 2
2 5
2 4
2 3
3 6
6 8
6 7

Graph 52_sub
8 7
2 1 4 2 1 1 5 1 
1 3
1 2
2 5
2 4
5 8
5 7
5 6

Graph 53_sub
8 7
1 11 11 1 4 1 2 1 
1 5
1 4
1 3
1 2
4 7
4 6
6 8

Graph 54_sub
8 7
4 1 4 1 4 4 4 2 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 55_sub
8 7
1 4 1 2 4 4 4 4 
1 5
1 4
1 3
1 2
3 8
3 7
3 6

Graph 56_sub
8 8
1 4 1 1 4 4 4 4 
1 5
1 4
1 3
1 2
3 7
3 6
3 4
4 8

Graph 57_sub
8 7
4 1 1 1 4 1 1 2 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 58_sub
8 7
1 2 2 1 4 1 1 4 
1 4
1 3
1 2
3 5
4 7
4 6
6 8

Graph 59_sub
8 7
1 4 1 2 4 4 4 1 
1 5
1 4
1 3
1 2
3 8
3 7
3 6

Graph 60_sub
8 7
1 5 1 1 2 2 4 1 
1 4
1 3
1 2
2 6
2 5
3 8
3 7

Graph 61_sub
8 7
4 2 1 1 1 2 1 4 
1 2
2 3
3 5
3 4
4 7
4 6
6 8

Graph 62_sub
8 7
4 1 4 1 6 4 6 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 63_sub
8 7
4 1 1 1 8 1 1 6 
1 2
2 4
2 3
3 6
3 5
6 8
6 7

Graph 64_sub
8 7
1 1 4 4 1 1 1 1 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 65_sub
8 7
1 1 4 4 4 1 1 1 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 66_sub
8 7
2 1 2 1 4 1 4 1 
1 2
2 4
2 3
3 5
4 8
4 7
4 6

Graph 67_sub
8 7
1 1 1 4 1 4 1 4 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 68_sub
8 7
4 1 1 1 1 4 4 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7

Graph 69_sub
8 7
4 1 5 1 4 1 1 1 
1 2
2 5
2 4
2 3
3 7
3 6
6 8

Graph 70_sub
8 7
1 2 1 1 1 1 1 4 
1 4
1 3
1 2
3 6
3 5
5 8
5 7

Graph 71_sub
8 7
4 1 4 2 1 1 4 4 
1 2
2 5
2 4
2 3
4 6
6 8
6 7

Graph 72_sub
8 7
12 5 5 5 5 5 5 4 
1 7
1 6
1 5
1 4
1 3
1 2
2 8

Graph 73_sub
8 7
4 1 4 1 4 1 2 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 74_sub
8 7
4 1 4 1 2 4 2 1 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 75_sub
8 7
4 1 1 4 2 4 1 2 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 76_sub
8 7
4 1 1 4 4 2 2 1 
1 2
2 5
2 4
2 3
3 7
3 6
6 8

Graph 77_sub
8 7
1 4 1 4 5 4 4 4 
1 5
1 4
1 3
1 2
3 8
3 7
3 6

Graph 78_sub
8 7
1 1 4 4 4 2 2 1 
1 5
1 4
1 3
1 2
2 7
2 6
7 8

Graph 79_sub
8 7
5 1 1 1 5 1 1 4 
1 3
1 2
2 5
2 4
4 7
4 6
6 8

Graph 80_sub
8 7
2 1 2 1 3 2 2 2 
1 2
2 4
2 3
3 5
5 8
5 7
5 6

Graph 81_sub
8 7
2 5 1 1 1 4 1 4 
1 2
2 3
3 5
3 4
4 7
4 6
7 8

Graph 82_sub
8 7
4 1 1 1 4 1 2 1 
1 2
2 4
2 3
3 6
3 5
6 8
6 7

Graph 83_sub
8 7
1 1 4 1 1 1 2 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 84_sub
8 7
5 1 1 1 4 4 5 1 
1 4
1 3
1 2
2 7
2 6
2 5
7 8

Graph 85_sub
8 7
4 2 1 1 4 4 1 1 
1 2
2 3
3 6
3 5
3 4
4 8
4 7

Graph 86_sub
8 7
4 2 1 1 4 1 1 4 
1 2
2 3
3 6
3 5
3 4
4 8
4 7

Graph 87_sub
8 7
1 4 5 4 4 1 1 4 
1 5
1 4
1 3
1 2
3 7
3 6
6 8

Graph 88_sub
8 7
1 1 1 1 1 4 4 1 
1 4
1 3
1 2
2 6
2 5
5 8
5 7

Graph 89_sub
8 7
4 1 1 4 1 1 1 4 
1 2
2 5
2 4
2 3
3 7
3 6
6 8

Graph 90_sub
8 7
4 5 1 1 5 5 4 4 
1 2
2 4
2 3
3 6
3 5
5 7
6 8

Graph 91_sub
8 7
2 6 2 2 1 4 1 4 
1 2
2 5
2 4
2 3
4 6
5 8
5 7

Graph 92_sub
8 7
6 1 6 5 1 4 4 1 
1 2
2 4
2 3
3 5
5 8
5 7
5 6

Graph 93_sub
8 7
4 1 4 1 1 4 1 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 94_sub
8 7
6 1 1 6 4 4 1 4 
1 3
1 2
2 6
2 5
2 4
4 7
7 8

Graph 95_sub
8 7
1 1 2 2 1 1 1 4 
1 4
1 3
1 2
