Graph 1_sub
12 12
13 9 15 16 18 19 22 15 11 5 14 21 
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 4

Graph 2_sub
12 12
19 18 17 15 19 3 12 19 19 14 22 18 
1 3
1 2
2 4
4 6
4 5
5 9
5 8
5 7
5 6
7 12
7 11
7 10

Graph 3_sub
12 15
14 17 19 18 7 7 15 11 18 16 13 13 
1 10
1 4
1 3
1 2
2 6
2 5
2 3
4 10
4 7
5 9
5 8
5 7
7 10
10 12
10 11

Graph 4_sub
12 22
17 13 28 7 14 15 20 15 13 16 11 17 
1 4
1 3
1 2
2 11
2 8
2 7
2 6
2 5
2 3
3 11
3 10
5 11
5 10
5 9
5 7
6 11
6 10
7 11
7 10
8 11
9 10
11 12

Graph 58_sub
12 12
13 19 11 14 18 13 13 18 17 21 4 20 
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 3

Graph 6_sub
12 11
17 11 10 11 16 15 13 18 4 25 26 12 
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 10
2 9
9 12
9 11

Graph 34_sub
12 14
19 20 15 13 14 4 14 13 11 7 17 19 
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 6
2 5
4 11
4 10
4 9
5 7
6 12

Graph 8_sub
12 12
10 22 20 17 18 18 13 18 22 16 16 17 
1 4
1 3
1 2
2 9
2 8
2 7
2 6
2 5
2 4
5 10
6 12
6 11

Graph 9_sub
12 12
11 15 8 5 19 16 20 8 18 7 12 9 
1 3
1 2
2 6
2 5
2 4
4 12
4 11
4 10
4 9
4 8
4 7
4 5

Graph 10_sub
12 11
13 10 17 13 16 19 4 12 8 16 14 20 
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 11_sub
12 13
18 4 15 12 6 17 14 16 11 12 16 13 
1 6
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 5
2 3

Graph 12_sub
12 11
21 24 22 11 18 12 19 10 16 16 15 8 
1 2
2 4
2 3
3 6
3 5
5 12
5 11
5 10
5 9
5 8
5 7

Graph 13_sub
12 16
13 24 13 17 15 19 17 9 12 13 21 11 
1 5
1 4
1 3
1 2
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3
5 6
6 12
6 10

Graph 14_sub
12 11
12 25 15 5 25 17 17 15 10 13 13 13 
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5

Graph 15_sub
12 11
15 17 15 8 11 8 18 19 14 20 24 17 
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6

Graph 16_sub
12 11
18 17 19 22 12 7 11 20 27 1 16 20 
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5

Graph 17_sub
12 12
14 10 21 5 19 18 11 9 19 17 16 16 
1 4
1 3
1 2
2 9
2 8
2 7
2 6
2 5
2 4
5 11
5 10
10 12

Graph 18_sub
12 15
15 17 11 18 18 14 23 15 14 16 9 13 
1 2
2 9
2 8
2 7
2 6
2 5
2 4
2 3
3 4
3 8
4 12
4 11
4 10
4 8
4 7

Graph 19_sub
12 11
23 15 18 17 14 22 12 11 10 13 9 20 
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 27_sub
12 11
13 15 14 16 7 6 19 14 13 7 8 26 
1 7
1 6
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8

Graph 22_sub
12 12
