Graph 1_sub
24 41
23 12 16 15 3 21 14 12 13 18 14 27 14 9 20 21 14 15 6 15 20 15 16 15 
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 3
6 15
6 14
6 13
11 19
13 20
13 19
13 18
13 17
13 16
13 15
14 19
14 18
14 17
14 16
15 18
15 17
15 16
16 18
16 20
16 17
17 19
17 18
18 19
18 20
19 22
19 21
21 24
21 23
21 22

Graph 2_sub
24 26
19 20 11 14 8 7 11 17 19 10 10 22 19 18 18 12 18 20 15 14 16 17 18 10 
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 4
3 11
3 4
11 21
11 20
11 19
11 18
11 17
11 16
11 15
11 14
11 13
11 12
12 22
13 18
15 24
15 23

Graph 3_sub
24 41
7 19 21 9 18 14 19 11 9 15 7 16 12 10 13 13 9 16 24 8 14 8 10 16 
1 7
1 6
1 5
1 4
1 3
1 2
2 13
2 12
2 11
2 10
2 9
2 8
2 6
2 5
2 3
4 15
8 16
8 15
8 14
8 9
8 13
9 16
9 14
10 20
10 19
10 18
10 17
11 16
11 15
11 14
12 15
13 16
13 15
13 14
14 16
14 15
15 16
17 24
17 23
17 22
17 21

Graph 14_sub
24 23
15 23 7 13 14 2 14 11 6 19 14 14 19 19 19 8 9 14 0 4 22 14 18 9 
1 5
1 4
1 3
1 2
2 24
2 23
2 22
2 21
2 20
2 19
2 18
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6

Graph 78_sub
24 25
22 5 15 23 8 14 22 12 21 17 17 14 9 13 19 13 18 11 12 9 18 8 8 14 
1 3
1 2
2 5
2 4
3 6
5 10
5 9
5 8
5 7
5 6
6 13
6 12
6 11
11 16
11 15
11 14
14 18
14 17
17 22
17 21
17 20
17 19
19 20
20 23
21 24

Graph 16_sub
24 24
13 5 6 14 16 23 1 6 16 22 10 16 19 20 21 15 12 9 15 21 15 15 15 11 
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 19
2 18
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
6 10
10 24
10 23
10 22
10 21
10 20

Graph 7_sub
24 31
16 6 10 13 4 17 12 13 9 14 11 15 20 25 6 22 17 20 11 15 14 10 22 17 
1 2
2 3
3 5
3 4
4 5
4 6
5 11
5 10
5 9
5 8
5 7
5 6
7 16
7 15
7 14
7 13
7 12
12 17
12 15
13 18
13 14
14 16
14 18
15 17
16 24
16 23
16 22
16 21
16 20
16 19
16 18

Graph 8_sub
24 31
12 18 22 12 10 13 16 18 16 14 17 21 5 23 17 11 14 18 15 11 10 12 12 10 
1 3
1 2
2 4
3 5
3 4
4 6
4 5
5 7
5 6
7 9
7 8
8 14
8 13
8 12
8 11
8 10
10 11
10 17
10 16
10 15
10 13
11 24
11 23
11 22
11 21
11 20
13 16
13 15
17 19
17 18
18 19

Graph 9_sub
24 29
5 8 14 23 19 23 16 14 27 8 16 13 8 16 14 11 7 9 9 20 12 10 18 13 
1 17
1 16
1 15
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 21
2 20
2 19
2 18
2 3
2 9
2 13
7 22
15 22
18 22
19 22
22 24
22 23

Graph 10_sub
24 26
13 11 8 15 13 17 14 13 20 10 14 24 18 13 12 11 13 16 13 10 19 16 8 8 
1 2
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3
3 12
3 11
11 13
11 12
12 19
12 18
12 17
12 16
12 15
12 14
12 13
14 19
19 21
19 20
20 24
20 23
20 22

Graph 69_sub
24 72
17 14 22 18 18 17 18 11 18 8 18 17 20 21 15 7 16 13 17 22 14 25 3 14 
1 18
1 14
1 17
1 16
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 14
2 13
2 12
2 7
2 8
2 5
2 9
2 10
3 18
3 12
3 4
3 11
3 17
3 16
3 13
4 24
4 23
4 22
4 21
4 20
4 19
4 12
4 7
4 8
4 15
4 9
4 11
4 14
4 17
4 13
5 15
5 13
6 15
7 13
8 14
8 13
9 15
9 13
10 14
10 15
11 18
11 17
11 13
12 18
12 14
12 17
12 15
13 18
13 17
13 16
13 15
13 14
14 15
16 18
16 17
17 18

Graph 12_sub
24 33
10 9 15 11 0 17 12 6 14 13 10 10 12 20 17 11 12 12 8 9 9 16 9 8 
1 3
1 2
2 5
2 4
2 3
4 8
4 7
4 6
5 9
6 8
6 7
7 8
9 11
9 10
10 18
10 17
10 16
10 15
10 14
10 13
10 12
12 14
13 15
13 18
15 20
15 19
15 18
18 19
19 23
19 22
19 21
19 20
21 24

Graph 84_sub
24 31
23 24 8 8 15 22 11 9 12 10 10 13 19 11 20 22 21 7 18 17 17 22 12 19 
1 5
1 4
1 3
1 2
2 7
2 6
2 3
2 4
6 9
6 8
8 10
8 9
9 16
9 15
9 14
9 13
9 12
9 11
11 16
11 14
11 12
12 16
13 16
16 24
16 23
16 22
16 21
16 20
16 19
16 18
16 17

Graph 14_sub
24 31
19 13 21 9 11 19 13 13 13 15 14 19 15 13 22 13 14 22 5 6 18 8 16 10 
1 7
1 6
1 5
1 4
1 3
1 2
2 11
2 10
2 9
2 8
2 7
2 4
2 6
3 7
4 7
6 7
7 20
7 19
7 18
7 17
7 16
7 15
7 14
7 13
7 12
7 8
7 10
12 24
12 23
12 22
12 21

Graph 15_sub
24 30
13 16 4 10 23 13 5 16 10 5 17 13 17 8 11 22 11 14 2 13 13 10 7 25 
1 5
1 4
1 3
1 2
2 12
2 8
2 7
2 6
7 10
7 9
7 8
9 13
9 12
9 11
12 15
12 14
12 13
14 22
14 20
14 19
14 18
14 17
14 16
16 21
16 20
18 22
18 21
21 23
21 22
22 24

Graph 16_sub
24 27
18 13 12 13 23 17 14 23 15 16 6 16 5 16 19 14 7 17 17 15 13 20 16 4 
1 5
1 4
1 3
1 2
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6
6 24
6 23
6 22
6 21
6 20
6 19
6 18
6 17
6 16
6 15
6 13
6 12
6 8
6 11

Graph 17_sub
24 26
12 16 22 10 20 20 21 6 7 12 17 21 14 14 11 14 6 10 19 10 18 5 6 9 
1 2
2 4
2 3
3 12
3 11
3 10
3 9
3 8
3 7
3 6
3 5
5 7
6 14
6 13
9 13
13 18
13 17
13 16
13 15
15 21
15 20
15 19
19 20
20 22
22 24
22 23

Graph 18_sub
24 28
7 8 8 19 11 12 27 9 25 14 13 23 14 15 16 10 13 18 18 14 6 12 6 16 
1 3
1 2
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
3 5
4 16
