Graph 1_sub
8 9
22 17 13 16 21 18 18 11 
1 5
1 4
1 3
1 2
2 4
2 3
3 8
3 7
3 6

Graph 2_sub
8 7
12 19 9 12 22 18 14 6 
1 6
1 5
1 4
1 3
1 2
2 8
2 7

Graph 3_sub
8 8
15 10 5 8 11 14 22 8 
1 6
1 5
1 4
1 3
1 2
2 8
2 7
2 4

Graph 4_sub
8 11
11 20 15 17 10 19 9 19 
1 6
1 2
2 6
2 4
2 3
3 7
3 6
3 5
4 6
5 7
7 8

Graph 5_sub
8 7
11 17 23 15 13 11 10 10 
1 3
1 2
2 5
2 4
4 8
4 7
4 6

Graph 6_sub
8 8
15 26 26 12 17 16 17 15 
1 3
1 2
2 5
2 4
2 3
4 8
4 7
4 6

Graph 7_sub
8 8
17 19 21 11 3 10 15 12 
1 5
1 4
1 3
1 2
2 7
2 6
2 5
6 8

Graph 8_sub
8 15
8 18 10 18 13 10 9 15 
1 6
1 5
1 4
1 3
1 2
2 6
2 3
2 4
3 6
3 5
3 4
4 6
5 6
6 8
6 7

Graph 9_sub
8 8
25 14 10 19 10 20 18 14 
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3

Graph 59_sub
8 7
18 13 21 17 15 13 24 14 
1 3
1 2
2 8
2 7
2 6
2 5
2 4

Graph 11_sub
8 8
17 15 14 9 21 12 9 12 
1 4
1 3
1 2
2 4
3 8
3 7
3 6
3 5

Graph 12_sub
8 8
16 21 18 11 12 13 24 23 
1 3
1 2
2 3
3 4
4 8
4 7
4 6
4 5

Graph 13_sub
8 10
12 9 11 23 5 22 15 18 
1 7
1 5
1 4
1 3
1 2
3 7
3 6
4 7
6 7
7 8

Graph 14_sub
8 7
8 10 13 9 13 15 16 20 
1 4
1 3
1 2
2 8
2 7
2 6
2 5

Graph 15_sub
8 9
16 5 16 10 17 13 13 11 
1 3
1 2
2 4
2 3
4 6
4 5
5 8
5 7
5 6

Graph 16_sub
8 7
12 13 12 7 14 18 10 19 
1 4
1 3
1 2
2 8
2 7
2 6
2 5

Graph 17_sub
8 8
18 23 9 15 12 10 3 11 
1 3
1 2
2 6
2 5
2 4
3 8
3 7
5 6

Graph 18_sub
8 8
10 17 18 5 8 12 15 10 
1 3
1 2
2 3
3 4
4 8
4 7
4 6
4 5

Graph 19_sub
8 9
13 15 15 13 16 18 18 16 
1 4
1 2
2 4
2 3
3 4
4 8
4 7
4 6
4 5

Graph 20_sub
8 7
16 22 15 16 10 26 17 14 
1 3
1 2
2 5
2 4
4 8
4 7
4 6

Graph 15_sub
8 7
11 18 19 3 21 8 13 20 
1 3
1 2
3 5
3 4
4 6
6 8
6 7

Graph 22_sub
8 10
26 8 19 15 12 18 11 8 
1 6
1 5
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3

Graph 23_sub
8 8
17 12 14 8 5 19 13 12 
1 3
1 2
2 3
3 6
3 5
3 4
4 8
4 7

Graph 24_sub
8 7
11 24 6 5 11 20 12 13 
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 25_sub
8 9
19 13 5 18 12 7 8 26 
1 2
2 6
2 5
2 4
2 3
3 8
3 7
3 4
3 6

Graph 26_sub
8 9
24 15 9 24 23 16 14 10 
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3
2 4

Graph 27_sub
8 7
19 15 13 13 17 6 30 16 
1 4
1 3
1 2
2 6
2 5
5 7
6 8

Graph 28_sub
8 7
4 3 25 16 17 9 20 15 
1 7
1 6
1 5
1 4
1 3
1 2
3 8

Graph 29_sub
8 7
