Graph 1_sub
4 3
9 14 14 14 
1 4
1 3
1 2

Graph 2_sub
4 3
14 20 13 2 
1 3
1 2
2 4

Graph 3_sub
4 3
10 16 12 8 
1 4
1 3
1 2

Graph 4_sub
4 3
9 5 19 17 
1 4
1 3
1 2

Graph 53_sub
4 3
30 9 12 12 
1 4
1 3
1 2

Graph 60_sub
4 3
19 8 15 14 
1 2
2 4
2 3

Graph 70_sub
4 3
18 17 19 3 
1 3
1 2
2 4

Graph 8_sub
4 4
17 21 8 24 
1 3
1 2
2 3
3 4

Graph 9_sub
4 3
11 14 21 9 
1 2
2 4
2 3

Graph 10_sub
4 3
18 22 11 18 
1 4
1 3
1 2

Graph 11_sub
4 3
16 12 14 16 
1 4
1 3
1 2

Graph 12_sub
4 3
17 12 21 15 
1 4
1 3
1 2

Graph 13_sub
4 3
9 11 16 18 
1 2
2 4
2 3

Graph 14_sub
4 3
18 16 15 6 
1 2
2 4
2 3

Graph 15_sub
4 3
30 15 10 17 
1 3
1 2
3 4

Graph 16_sub
4 4
17 17 9 19 
1 3
1 2
2 4
2 3

Graph 17_sub
4 3
15 9 15 18 
1 4
1 3
1 2

Graph 18_sub
4 3
24 23 19 18 
1 2
2 4
2 3

Graph 48_sub
4 3
15 21 11 20 
1 4
1 3
1 2

Graph 53_sub
4 3
11 20 20 18 
1 3
1 2
2 4

Graph 21_sub
4 3
17 11 23 10 
1 2
2 4
2 3

Graph 84_sub
4 3
11 13 13 21 
1 4
1 3
1 2

Graph 23_sub
4 3
20 9 21 23 
1 4
1 3
1 2

Graph 24_sub
4 3
13 13 18 10 
1 4
1 3
1 2

Graph 25_sub
4 3
3 19 8 12 
1 4
1 3
1 2

Graph 26_sub
4 3
22 20 16 16 
1 3
1 2
2 4

Graph 4_sub
4 3
16 6 19 13 
1 4
1 3
1 2

Graph 28_sub
4 3
21 8 12 8 
1 2
2 4
2 3

Graph 29_sub
4 3
10 25 12 14 
1 4
1 3
1 2

Graph 30_sub
4 3
0 15 10 17 
1 2
2 3
3 4

Graph 31_sub
4 3
12 11 15 6 
1 4
1 3
1 2

Graph 32_sub
4 3
18 16 9 13 
1 4
1 3
1 2

Graph 33_sub
4 3
11 17 15 18 
1 4
1 3
1 2

Graph 34_sub
4 3
17 22 12 18 
1 2
2 4
2 3

Graph 35_sub
4 3
14 9 18 22 
1 4
1 3
1 2

Graph 36_sub
4 4
17 9 16 10 
1 3
1 2
2 3
3 4

Graph 37_sub
4 3
13 21 17 11 
1 3
1 2
3 4

Graph 38_sub
4 3
18 15 10 12 
1 3
1 2
2 4

Graph 39_sub
4 3
16 14 10 19 
1 3
1 2
2 4

Graph 40_sub
4 4
18 13 18 15 
1 3
1 2
2 3
3 4

Graph 30_sub
4 4
10 16 11 23 
1 3
1 2
2 3
3 4

Graph 42_sub
4 3
16 7 16 11 
