Graph 1_sub
20 25
17 11 23 15 14 28 9 11 15 18 8 15 23 13 15 14 9 23 13 3 
0 19
1 4
1 3
1 2
2 5
5 15
5 14
5 13
5 12
5 11
5 10
5 9
5 8
5 7
5 6
6 16
6 15
6 14
6 10
12 15
12 14
15 18
15 17
17 19
19 20

Graph 2_sub
20 24
8 11 5 6 15 6 18 17 14 12 10 20 9 20 12 15 21 14 17 12 
0 17
0 13
1 5
1 4
1 3
1 2
2 5
5 13
5 12
5 11
5 10
5 9
5 8
5 7
5 6
6 13
6 12
13 16
13 15
13 14
14 18
14 17
17 20
17 19

Graph 3_sub
20 20
17 15 24 15 15 10 20 18 13 12 7 23 15 16 13 9 14 18 12 18 
0 2
1 2
2 20
2 19
2 18
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 4_sub
20 22
13 9 15 12 18 13 18 25 20 21 5 24 18 13 23 12 16 14 6 14 
0 2
0 1
1 19
1 18
1 17
1 16
1 15
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 20
2 4

Graph 39_sub
20 19
22 16 10 21 16 15 12 12 11 8 15 15 21 13 9 10 14 18 15 18 
1 2
2 4
2 3
3 10
3 9
3 8
3 7
3 6
3 5
6 11
11 15
11 14
11 13
11 12
12 20
12 19
12 18
12 17
12 16

Graph 6_sub
20 28
10 12 18 26 30 18 14 8 21 22 13 10 19 17 21 10 17 22 14 22 
0 15
0 1
1 15
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 15
2 4
2 13
5 15
6 15
10 15
13 15
15 20
15 19
15 18
15 17
15 16

Graph 7_sub
20 22
20 12 5 11 15 25 16 12 2 11 20 17 19 17 23 13 12 18 10 11 
0 2
1 4
1 3
1 2
2 20
2 19
2 18
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 3
2 4

Graph 8_sub
20 25
14 13 15 25 5 15 9 15 16 10 9 13 22 19 13 5 17 25 12 11 
0 7
0 1
1 3
1 2
2 3
3 6
3 5
3 4
4 8
4 7
6 12
7 11
7 10
7 9
9 14
9 13
9 12
9 10
12 19
12 18
12 17
12 16
12 15
12 14
15 20

Graph 89_sub
20 24
9 15 15 19 13 15 11 17 15 6 11 17 23 16 16 19 17 16 10 18 
1 3
1 2
2 6
2 5
2 4
2 3
4 16
4 15
4 14
4 13
4 12
4 11
4 10
4 9
4 8
4 7
4 6
4 5
7 20
7 19
7 18
7 17
7 12
7 10

Graph 10_sub
20 33
20 10 21 14 22 17 24 12 19 14 16 22 14 15 16 13 11 16 16 7 
0 16
0 2
0 1
1 8
1 6
1 5
1 4
1 3
1 2
2 11
2 10
2 9
2 8
2 7
2 5
2 6
2 4
2 3
4 8
7 9
7 11
8 13
8 12
8 11
12 16
12 14
12 13
14 16
14 15
16 20
16 19
16 18
16 17

Graph 20_sub
20 26
13 8 27 11 15 12 18 12 8 13 10 9 18 19 18 11 17 13 15 0 
1 2
2 8
2 7
2 6
2 5
2 4
2 3
3 4
3 8
4 8
5 14
5 13
5 12
5 11
5 10
5 9
10 19
10 17
10 16
10 15
10 12
12 19
12 18
15 19
15 18
19 20

Graph 12_sub
20 28
18 20 17 13 3 13 12 16 9 13 24 14 16 6 12 12 13 11 20 15 
0 10
0 9
0 15
0 4
1 4
1 3
1 2
2 7
2 6
2 5
2 4
3 8
4 15
4 14
4 13
4 12
4 11
4 10
4 9
4 8
8 15
8 13
9 15
10 20
10 19
10 18
10 17
10 16

Graph 69_sub
20 19
13 17 18 16 6 20 22 8 10 12 17 10 16 17 18 10 15 8 5 22 
1 6
1 5
1 4
1 3
1 2
2 8
2 7
7 13
7 12
7 11
7 10
7 9
9 18
9 17
9 16
9 15
9 14
14 19
19 20

Graph 35_sub
20 24
7 22 18 18 16 3 14 12 18 14 15 12 9 18 12 8 16 12 22 19 
0 11
1 7
1 6
1 5
1 4
1 3
1 2
2 7
2 4
2 6
7 10
7 9
7 8
8 18
8 17
8 16
8 15
8 14
8 13
8 12
8 11
8 10
11 20
11 19

Graph 15_sub
20 20
20 8 6 17 15 16 19 21 12 13 8 10 14 19 11 9 14 16 6 21 
1 7
1 6
1 5
1 4
1 3
1 2
2 8
2 4
8 9
9 12
9 11
9 10
10 17
10 16
10 15
10 14
10 13
13 18
14 20
14 19

Graph 16_sub
20 23
14 10 10 13 21 18 13 18 11 11 15 17 8 22 25 17 22 11 14 20 
0 3
1 5
1 4
1 3
1 2
2 5
2 4
3 20
3 19
3 18
3 17
3 16
3 15
3 14
3 13
3 12
3 11
3 10
3 9
3 8
3 7
3 6
4 5

Graph 17_sub
20 22
18 14 2 13 17 15 7 0 12 28 18 15 5 17 18 22 19 10 15 12 
0 3
1 5
1 4
1 3
1 2
2 5
4 17
4 16
4 15
4 14
4 13
4 12
4 11
4 10
4 9
4 8
5 7
5 6
6 7
8 18
18 20
18 19

Graph 18_sub
20 22
19 15 13 11 16 6 19 8 11 10 14 11 16 16 9 16 19 8 15 20 
1 4
1 3
1 2
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 3
6 13
6 12
6 11
11 15
11 14
14 20
14 19
14 18
14 17
14 16
14 15

Graph 19_sub
20 23
11 15 9 10 16 18 19 15 24 12 17 14 19 16 14 5 19 17 10 24 
0 10
0 6
1 3
1 2
2 5
2 4
3 4
4 9
4 8
4 7
4 6
6 15
6 14
6 13
6 12
6 11
6 10
6 7
10 19
10 18
10 17
10 16
16 20

Graph 83_sub
20 24
18 15 18 17 20 23 14 17 16 15 18 18 6 13 10 13 9 6 13 8 
1 5
1 4
1 3
1 2
2 13
2 12
2 11
2 10
2 9
2 8
