Graph 1_sub
24 27
16 11 21 15 7 19 18 8 18 21 8 17 11 13 17 22 16 16 15 5 23 17 14 3 
0 9
1 4
1 3
1 2
2 6
2 5
5 8
5 7
5 6
7 10
7 9
7 8
9 12
9 11
12 17
12 16
12 15
12 14
12 13
13 24
13 23
13 22
13 21
13 20
13 19
13 18
13 16

Graph 2_sub
24 25
8 14 15 13 13 16 15 8 10 16 14 18 14 22 9 25 7 19 24 12 16 25 4 11 
0 5
1 5
1 4
1 3
1 2
2 10
2 9
2 8
2 7
2 6
2 5
5 17
5 16
5 15
5 14
5 13
5 12
5 11
11 24
11 23
11 22
11 21
11 20
11 19
11 18

Graph 3_sub
24 32
8 22 11 16 9 10 18 17 15 12 23 22 17 16 24 20 14 12 18 7 11 15 21 8 
0 2
1 23
1 22
1 21
1 20
1 19
1 18
1 17
1 16
1 15
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 24
2 16
2 13
2 22
2 4
2 15
2 12
2 14
2 5

Graph 53_sub
24 26
5 14 23 11 12 19 12 19 15 10 9 20 20 9 14 9 10 21 24 12 17 10 15 18 
1 6
1 5
1 4
1 3
1 2
2 3
3 7
3 6
7 12
7 11
7 10
7 9
7 8
8 15
8 14
8 13
13 16
13 14
16 17
17 18
18 24
18 23
18 22
18 21
18 20
18 19

Graph 5_sub
24 35
11 10 17 13 17 16 15 22 11 7 10 18 15 14 8 18 11 5 10 16 13 19 19 8 
0 21
0 4
0 2
1 2
2 21
2 20
2 19
2 18
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3
3 20
3 19
3 17
4 21
4 18
5 24
5 23
5 22
5 13
17 20
17 19
19 20

Graph 6_sub
24 31
11 13 20 13 6 19 11 19 14 10 12 21 3 18 17 19 21 11 18 18 4 16 21 11 
0 19
0 9
0 2
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 19
2 17
2 16
2 15
2 14
2 13
2 12
2 11
2 10
2 9
2 3
2 5
9 18
10 20
10 19
14 19
19 24
19 23
19 22
19 21
19 20

Graph 7_sub
24 29
14 14 17 15 21 12 12 15 17 18 18 11 13 9 18 12 17 11 10 11 12 9 21 25 
0 22
0 15
1 6
1 5
1 4
1 3
1 2
2 8
2 7
7 12
7 11
7 10
7 9
7 8
9 14
9 13
13 22
13 20
13 19
13 18
13 17
13 16
13 15
15 21
15 20
20 23
20 22
20 21
22 24

Graph 8_sub
24 24
19 18 19 13 16 4 7 21 14 16 9 8 15 17 13 11 16 4 13 6 21 19 24 12 
0 12
1 3
1 2
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
4 12
12 24
12 23
12 22
12 21
12 20
12 19
12 18
12 17
12 16
12 15
12 14
12 13

Graph 9_sub
24 26
14 6 12 23 18 21 19 13 19 15 12 17 13 11 13 16 12 14 20 17 14 17 8 16 
0 15
0 12
1 5
1 4
1 3
1 2
2 8
2 7
2 6
6 11
6 10
6 9
9 11
11 14
11 13
11 12
12 22
12 21
12 20
12 19
12 18
12 17
12 16
12 15
15 24
15 23

Graph 10_sub
24 31
9 18 9 12 13 21 9 20 20 24 12 12 19 17 15 10 18 13 23 17 8 19 15 7 
0 12
0 11
0 10
0 9
1 3
1 2
2 7
2 6
2 5
2 4
4 7
6 14
7 8
8 9
9 22
9 21
9 20
9 19
9 18
9 17
9 16
9 15
9 14
9 13
9 12
9 11
9 10
10 11
12 18
14 24
14 23

Graph 11_sub
24 29
13 11 17 23 22 11 15 17 14 15 23 20 13 15 18 8 15 10 18 19 21 10 18 9 
0 7
0 5
1 4
1 3
1 2
2 6
2 5
2 4
5 15
5 14
5 13
5 12
5 11
5 10
5 9
5 8
5 7
5 6
7 24
7 23
7 22
