Graph 1_sub
8 7
21 18 16 22 19 20 7 14 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 2_sub
8 9
24 19 11 16 11 6 18 16 
1 4
1 3
1 2
2 7
2 6
2 5
2 3
5 7
7 8

Graph 72_sub
8 11
23 16 21 14 14 16 17 13 
1 5
1 4
1 3
1 2
2 7
2 6
2 5
2 4
2 3
6 8
6 7

Graph 4_sub
8 7
19 17 10 14 17 18 20 28 
1 2
2 5
2 4
2 3
3 8
3 7
3 6

Graph 5_sub
8 11
17 20 24 6 13 5 15 14 
1 5
1 4
1 3
1 2
2 4
2 3
3 4
4 5
5 8
5 7
5 6

Graph 6_sub
8 8
15 18 18 13 16 10 16 7 
0 2
1 3
1 2
2 8
2 7
2 6
2 5
2 4

Graph 7_sub
8 10
13 14 12 21 15 15 12 15 
1 6
1 5
1 4
1 3
1 2
2 8
2 7
2 3
2 6
2 4

Graph 8_sub
8 7
14 23 19 12 13 14 16 19 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 9_sub
8 8
10 15 21 11 8 13 6 10 
1 3
1 2
2 4
2 3
3 8
3 7
3 6
3 5

Graph 10_sub
8 7
11 11 18 20 13 9 18 1 
1 7
1 6
1 5
1 4
1 3
1 2
2 8

Graph 11_sub
8 7
18 16 23 21 8 15 18 10 
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 12_sub
8 7
19 19 11 18 11 10 6 15 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 13_sub
8 9
10 12 10 14 14 21 13 6 
0 3
1 2
2 7
2 6
2 5
2 4
2 3
3 8
3 5

Graph 14_sub
8 9
7 16 14 12 20 11 15 15 
1 5
1 4
1 3
1 2
2 5
4 5
5 8
5 7
5 6

Graph 15_sub
8 7
13 19 17 23 18 20 6 17 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 16_sub
8 11
17 28 7 9 9 20 19 17 
1 6
1 5
1 4
1 3
1 2
2 6
2 4
4 6
5 6
6 8
6 7

Graph 35_sub
8 9
11 9 29 13 13 21 9 20 
1 5
1 3
1 2
2 5
2 4
3 8
3 7
3 6
4 5

Graph 18_sub
8 8
15 23 15 10 20 6 15 15 
1 7
1 6
1 5
1 4
1 3
1 2
2 8
2 7

Graph 77_sub
8 8
15 17 18 5 21 18 4 4 
1 3
1 2
2 4
2 3
4 8
4 7
4 6
4 5

Graph 20_sub
8 12
19 17 11 19 23 8 22 16 
1 5
1 4
1 3
1 2
2 3
2 6
2 4
3 8
3 7
3 5
3 4
3 6

Graph 21_sub
8 8
12 14 15 12 15 7 12 19 
1 4
1 3
1 2
3 6
3 5
3 4
5 8
5 7

Graph 31_sub
8 7
10 7 11 24 16 14 11 9 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 100_sub
8 8
3 14 20 9 20 10 8 17 
1 2
2 7
2 6
2 5
2 4
2 3
3 8
3 7

Graph 24_sub
8 7
6 10 11 18 22 12 15 23 
1 3
1 2
3 5
3 4
4 8
4 7
4 6

Graph 25_sub
8 7
22 29 10 16 14 13 0 11 
1 2
2 3
3 6
3 5
3 4
4 7
7 8

Graph 26_sub
8 9
23 14 15 21 7 16 24 24 
1 4
1 3
1 2
2 5
2 4
3 4
4 8
4 7
4 6

Graph 27_sub
8 7
9 14 13 20 14 15 23 19 
1 5
1 4
1 3
1 2
3 8
3 7
3 6

Graph 28_sub
8 7
8 15 14 21 16 11 14 15 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 29_sub
8 12
12 17 15 17 6 9 21 18 
1 5
1 4
1 3
1 2
2 5
2 4
3 5
3 4
4 5
5 8
5 7
5 6

Graph 30_sub
8 7
8 23 12 11 21 9 14 25 
1 3
1 2
2 8
2 7
2 6
2 5
2 4

Graph 31_sub
8 11
14 24 10 18 8 17 16 22 
1 6
1 5
1 4
1 3
1 2
2 8
2 7
2 4
2 5
2 6
2 3

Graph 32_sub
8 7
21 13 8 15 21 15 18 15 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 33_sub
8 8
11 23 22 9 5 22 22 9 
1 3
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 37_sub
8 9
20 21 15 12 17 21 12 22 
1 2
2 5
