Graph 1_sub
4 3
11 21 16 14 
1 4
1 3
1 2

Graph 2_sub
4 3
18 3 4 15 
1 2
2 4
2 3

Graph 3_sub
4 3
21 17 24 16 
1 4
1 3
1 2

Graph 4_sub
4 3
9 17 17 10 
1 4
1 3
1 2

Graph 5_sub
4 3
21 13 12 19 
1 4
1 3
1 2

Graph 6_sub
4 3
11 18 19 19 
1 4
1 3
1 2

Graph 7_sub
4 3
14 11 12 19 
1 4
1 3
1 2

Graph 8_sub
4 3
27 25 8 8 
1 4
1 3
1 2

Graph 9_sub
4 4
13 23 28 9 
0 1
1 4
1 3
1 2

Graph 10_sub
4 3
17 13 8 11 
1 4
1 3
1 2

Graph 11_sub
4 3
20 9 15 8 
1 4
1 3
1 2

Graph 12_sub
4 3
19 19 9 15 
1 4
1 3
1 2

Graph 13_sub
4 3
19 13 6 15 
1 4
1 3
1 2

Graph 14_sub
4 3
19 15 18 7 
1 2
2 3
3 4

Graph 15_sub
4 3
10 17 12 6 
1 3
1 2
2 4

Graph 16_sub
4 3
14 14 7 17 
1 2
2 3
3 4

Graph 17_sub
4 3
14 14 20 12 
1 4
1 3
1 2

Graph 18_sub
4 3
15 13 10 13 
1 4
1 3
1 2

Graph 19_sub
4 3
5 11 6 14 
1 4
1 3
1 2

Graph 20_sub
4 3
12 15 17 19 
1 4
1 3
1 2

Graph 28_sub
4 3
7 15 20 11 
1 2
2 3
3 4

Graph 17_sub
4 3
15 15 11 8 
1 3
1 2
2 4

Graph 77_sub
4 3
17 14 17 10 
1 4
1 3
1 2

Graph 24_sub
4 3
9 18 7 16 
1 2
2 4
2 3

Graph 25_sub
4 3
11 7 16 8 
1 4
1 3
1 2

Graph 26_sub
4 3
7 9 16 17 
1 4
1 3
1 2

Graph 27_sub
4 3
15 14 18 9 
1 4
1 3
1 2

Graph 28_sub
4 4
13 23 17 15 
1 3
1 2
2 3
3 4

Graph 61_sub
4 3
10 12 22 11 
1 3
1 2
3 4

Graph 30_sub
4 3
17 11 7 18 
1 4
1 3
1 2

Graph 28_sub
4 3
16 11 21 16 
1 2
2 4
2 3

Graph 32_sub
4 3
8 6 17 16 
1 4
1 3
1 2

Graph 33_sub
4 3
12 19 13 14 
1 2
2 4
2 3

Graph 34_sub
4 3
14 18 14 13 
1 2
2 3
3 4

Graph 35_sub
4 3
17 10 19 18 
1 3
1 2
3 4

Graph 49_sub
4 4
14 13 24 17 
1 3
1 2
2 3
3 4

Graph 37_sub
4 3
15 26 19 16 
1 2
2 3
3 4

Graph 38_sub
4 3
7 11 29 8 
1 4
1 3
1 2

Graph 45_sub
4 3
18 8 16 13 
1 2
2 4
2 3

Graph 40_sub
4 3
12 21 12 18 
1 4
1 3
1 2

Graph 41_sub
4 3
11 9 15 19 
1 4
1 3
1 2

Graph 42_sub
4 3
22 11 12 12 
1 3
1 2
