Graph 1_sub
8 11
13 12 19 3 13 12 24 22 
1 5
1 4
1 3
1 2
2 7
2 6
2 5
3 6
5 6
6 8
6 7

Graph 2_sub
8 8
18 19 13 13 13 14 19 12 
1 3
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 3_sub
8 7
20 12 19 16 20 18 14 17 
1 5
1 4
1 3
1 2
2 8
2 7
2 6

Graph 4_sub
8 11
16 15 10 16 18 15 9 21 
1 4
1 3
1 2
2 7
2 6
2 5
2 4
2 3
3 4
4 8
4 6

Graph 5_sub
8 7
18 15 9 20 6 18 17 17 
1 2
2 3
3 8
3 7
3 6
3 5
3 4

Graph 6_sub
8 7
5 15 12 17 10 19 11 17 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 7_sub
8 8
14 21 9 18 6 13 14 11 
1 2
2 4
2 3
3 8
3 7
3 6
3 5
3 4

Graph 8_sub
8 8
5 24 7 20 19 25 13 21 
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3

Graph 9_sub
8 7
13 23 17 10 11 19 19 23 
1 3
1 2
2 8
2 7
2 6
2 5
2 4

Graph 98_sub
8 7
19 18 11 20 14 20 17 19 
1 3
1 2
2 8
2 7
2 6
2 5
2 4

Graph 11_sub
8 8
13 10 11 16 20 0 9 23 
1 3
1 2
2 5
2 4
4 7
4 6
5 6
6 8

Graph 12_sub
8 7
15 13 14 15 13 20 9 13 
1 5
1 4
1 3
1 2
3 8
3 7
3 6

Graph 43_sub
8 8
14 19 20 9 16 14 7 10 
1 7
1 6
1 5
1 4
1 3
1 2
2 7
3 8

Graph 14_sub
8 7
27 11 15 10 16 11 15 23 
1 6
1 5
1 4
1 3
1 2
2 8
2 7

Graph 54_sub
8 12
14 15 10 16 14 17 24 21 
1 5
1 4
1 2
2 5
2 4
2 3
3 5
3 4
4 5
5 6
6 8
6 7

Graph 48_sub
8 7
15 10 14 18 10 8 27 17 
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 17_sub
8 7
25 11 19 9 11 18 19 11 
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 18_sub
8 8
16 16 15 21 13 10 17 20 
1 3
1 2
2 3
3 8
3 7
3 6
3 5
3 4

Graph 19_sub
8 7
19 21 9 9 14 19 13 19 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 20_sub
8 7
14 16 19 11 7 21 1 28 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 21_sub
8 12
25 9 16 7 12 12 7 17 
1 7
1 5
1 4
1 3
1 2
3 7
3 6
3 4
4 7
4 6
6 7
7 8

Graph 22_sub
8 7
18 16 20 17 10 7 16 22 
1 2
2 4
2 3
3 8
3 7
3 6
3 5

Graph 23_sub
8 8
16 14 17 16 6 11 18 20 
1 3
1 2
2 3
3 4
4 6
4 5
5 8
5 7

Graph 88_sub
8 9
12 11 12 19 26 11 13 8 
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3
2 4

Graph 9_sub
8 10
18 10 24 16 12 11 16 19 
1 3
1 2
2 7
2 6
2 5
2 4
2 3
4 7
5 7
6 8

Graph 92_sub
8 12
16 17 14 15 18 9 12 6 
1 4
1 3
1 2
2 6
2 5
2 4
2 3
3 4
4 8
4 7
4 6
4 5

Graph 27_sub
8 7
13 16 12 12 10 8 14 22 
1 2
2 3
3 8
3 7
3 6
3 5
3 4

Graph 28_sub
8 7
21 18 26 16 24 5 15 13 
1 2
2 8
2 7
2 6
2 5
2 4
2 3

Graph 29_sub
8 7
16 5 16 17 8 20 12 21 
1 8
