Graph 1_sub
16 15
14 25 10 11 17 14 5 12 11 3 12 24 12 9 4 17 
1 3
1 2
2 4
4 5
5 16
5 15
5 14
5 13
5 12
5 11
5 10
5 9
5 8
5 7
5 6

Graph 2_sub
16 20
18 21 9 12 11 10 19 18 18 8 8 14 9 9 19 13 
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 16
2 15
2 3
2 8
2 9
2 14
2 4

Graph 3_sub
16 19
12 19 21 10 18 7 16 16 13 18 18 11 25 11 18 11 
1 3
1 2
2 8
2 7
2 6
2 5
2 4
4 8
5 9
5 6
6 14
6 13
6 12
6 11
6 10
10 16
10 15
10 13
10 14

Graph 4_sub
16 18
13 18 14 17 19 24 18 21 18 8 22 19 12 11 25 13 
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 13
2 12
2 11
2 10
2 8
8 10
10 16
10 15
10 14
10 13

Graph 5_sub
16 25
14 9 7 22 28 22 18 16 9 12 13 16 12 0 17 4 
1 5
1 4
1 3
1 2
2 4
2 3
2 5
3 4
4 9
4 8
4 7
4 6
4 5
6 15
6 14
6 13
6 12
6 11
6 10
8 10
10 16
10 15
10 13
10 12
10 11

Graph 6_sub
16 15
12 11 9 14 9 16 20 21 12 12 17 10 11 15 12 13 
1 16
1 15
1 14
1 13
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 7_sub
16 26
16 18 12 10 20 20 15 10 19 14 18 8 16 15 6 20 
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 8
3 7
3 6
3 4
3 5
4 7
4 6
4 5
5 7
6 7
6 8
7 16
7 15
7 14
7 13
7 12
7 11
7 10
7 9

Graph 8_sub
16 17
8 18 20 18 8 9 13 15 19 25 4 7 16 18 9 11 
1 3
1 2
2 4
2 3
3 6
3 5
4 5
6 16
6 15
6 14
6 13
6 12
6 11
6 10
6 9
6 8
6 7

Graph 9_sub
16 15
20 19 11 14 17 16 18 9 7 6 9 18 10 22 18 24 
1 4
1 3
1 2
3 16
3 15
3 14
3 13
3 12
3 11
3 10
3 9
3 8
3 7
3 6
3 5

Graph 10_sub
16 17
19 14 12 6 16 6 15 24 4 9 23 5 13 11 10 11 
1 4
1 3
1 2
2 9
2 8
2 7
2 6
2 5
2 4
2 3
5 15
5 14
5 13
5 12
5 11
5 10
10 16

Graph 11_sub
3 3
21 19 15 
1 3
1 2
2 3

Graph 12_sub
16 37
11 22 22 16 13 18 15 18 7 19 1 7 20 16 17 15 
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2
2 6
2 5
2 9
2 8
2 11
2 3
3 5
3 9
3 8
3 11
3 7
3 12
4 10
5 6
5 9
5 8
5 11
5 7
5 12
6 16
6 15
6 14
6 13
6 9
6 8
6 11

Graph 13_sub
16 20
