Graph 1
117 301
17 15 14 14 21 20 17 8 7 4 7 13 8 11 16 24 3 13 23 23 25 21 10 12 16 13 17 10 23 5 9 11 11 17 2 17 15 12 26 22 9 17 9 19 14 23 13 16 19 11 12 19 24 14 19 12 14 23 11 12 17 12 16 13 16 5 19 23 9 20 14 5 7 11 16 21 11 11 5 20 5 13 20 18 13 12 25 18 11 19 12 12 4 7 15 27 20 5 15 14 5 21 14 15 19 14 15 10 13 10 19 23 22 14 13 20 18 
1 18
1 91
2 21
2 31
2 39
2 63
2 100
2 108
3 5
3 7
3 10
3 20
3 35
3 43
4 36
4 62
5 7
5 10
5 20
5 35
5 43
6 8
6 15
6 40
6 43
6 44
7 10
7 20
7 43
7 67
7 104
8 11
8 15
8 18
8 23
8 25
8 37
8 40
8 43
8 44
8 47
8 54
8 57
8 59
8 67
8 75
8 87
8 93
8 107
9 23
9 24
10 20
10 29
10 43
11 18
11 21
11 36
11 37
11 43
11 62
11 68
11 84
12 29
12 58
13 18
13 33
13 36
13 71
14 18
14 24
14 27
14 30
15 23
15 25
15 38
15 40
15 43
15 67
16 18
16 37
16 42
16 50
16 79
16 85
16 86
16 88
16 90
16 91
17 85
17 100
18 21
18 24
18 27
18 30
18 37
18 42
18 43
18 47
18 57
18 67
18 68
18 85
18 86
18 90
18 91
18 99
18 117
19 29
19 48
19 70
19 80
20 43
21 63
22 55
22 75
23 25
23 39
23 46
23 90
24 27
24 30
24 33
24 41
24 67
24 68
24 74
25 28
25 37
25 40
25 44
25 67
25 99
25 107
26 28
26 49
26 111
27 30
29 58
29 76
29 96
30 105
31 56
31 78
31 81
31 82
31 83
32 36
32 53
32 61
32 89
32 94
33 36
33 41
33 64
33 67
33 68
33 74
34 58
34 114
35 65
36 37
36 47
36 52
36 53
36 61
36 62
36 84
36 94
37 42
37 43
37 44
37 45
37 46
37 47
37 50
37 57
37 60
37 62
37 67
37 68
37 84
37 88
37 90
37 91
37 99
37 102
37 103
37 107
37 110
38 40
39 63
39 90
39 100
39 108
40 43
41 45
41 60
41 67
41 68
41 74
41 104
42 43
42 47
42 52
42 57
42 67
42 68
42 88
42 90
42 91
42 92
42 99
43 47
43 67
43 68
43 99
44 107
45 60
45 104
46 69
46 99
46 106
47 54
47 57
47 68
47 75
47 90
47 91
47 99
48 70
48 80
50 88
50 112
51 72
51 90
52 64
52 92
53 61
53 108
53 115
55 109
56 78
56 81
56 82
56 83
57 68
57 90
57 91
57 97
58 114
59 73
59 98
61 89
61 99
62 84
63 68
64 77
64 90
64 92
64 100
66 94
67 68
67 74
67 77
67 90
68 74
68 88
68 90
68 91
68 92
69 106
71 111
73 98
78 81
78 82
78 83
81 82
81 83
82 83
85 86
85 90
85 91
86 90
86 91
90 91
90 100
91 99
91 106
91 113
91 115
91 116
93 99
93 100
95 96
95 101
96 101
100 108
102 103
113 115
113 116
115 116

Graph 2
117 388
6 14 19 10 12 8 19 15 5 23 7 19 3 16 12 9 11 9 18 18 7 12 19 14 19 13 10 14 20 12 10 9 18 12 14 10 13 15 15 19 8 19 22 10 13 13 18 10 18 13 23 21 10 16 10 14 13 7 14 16 11 12 17 8 11 15 23 18 16 15 20 15 15 9 9 6 5 10 12 18 11 21 8 17 6 11 11 23 13 18 16 14 14 22 18 17 12 15 14 19 23 13 9 18 16 18 20 20 7 21 11 2 9 12 8 15 11 
1 38
1 68
1 77
1 90
2 3
2 6
2 11
2 14
2 15
2 24
2 44
2 52
2 58
2 60
2 78
3 7
3 8
3 10
3 11
3 12
3 15
3 19
3 20
3 23
3 24
3 30
3 37
3 43
3 44
3 46
3 48
3 50
3 51
3 53
3 61
3 66
3 67
3 89
3 97
4 66
4 67
5 46
5 50
6 13
6 15
6 22
6 24
6 32
6 42
6 43
6 71
7 11
7 15
7 18
7 24
7 35
7 41
7 44
7 46
7 48
7 54
7 63
8 16
8 20
8 26
8 41
8 43
8 44
8 46
8 51
8 53
8 63
8 84
8 97
9 18
9 20
9 21
9 56
10 12
10 14
10 20
10 22
10 24
10 51
10 61
10 66
10 67
10 105
10 106
11 21
11 44
11 46
11 61
11 80
12 20
12 42
12 44
12 66
12 67
13 22
13 32
13 50
13 87
13 94
13 108
14 18
14 22
14 24
14 65
15 19
15 20
15 30
15 52
16 20
16 34
16 38
16 46
16 57
16 59
16 68
16 83
16 84
16 96
17 20
17 23
17 30
17 31
17 44
17 46
17 48
17 50
17 53
17 61
17 66
17 76
17 81
17 98
18 21
18 22
18 24
18 34
18 37
18 42
18 49
18 56
18 73
18 93
18 99
19 50
20 23
20 30
20 31
20 34
20 38
20 41
20 44
20 46
20 48
20 50
20 53
