Graph 1_sub
4 3
10 14 25 11 
1 2
2 3
3 4

Graph 2_sub
4 3
13 11 13 18 
1 4
1 3
1 2

Graph 3_sub
4 3
10 19 16 16 
1 4
1 3
1 2

Graph 4_sub
4 3
21 19 13 14 
1 4
1 3
1 2

Graph 5_sub
4 3
14 14 19 23 
1 4
1 3
1 2

Graph 6_sub
4 3
13 17 17 17 
1 2
2 3
3 4

Graph 7_sub
4 4
16 8 13 13 
1 3
1 2
2 4
2 3

Graph 8_sub
4 3
21 9 15 16 
1 4
1 3
1 2

Graph 9_sub
4 3
6 22 9 11 
1 4
1 3
1 2

Graph 10_sub
4 3
6 15 12 6 
1 4
1 3
1 2

Graph 11_sub
4 3
17 10 6 25 
1 3
1 2
2 4

Graph 91_sub
4 3
11 13 15 19 
1 4
1 3
1 2

Graph 13_sub
4 4
15 20 10 21 
1 3
1 2
2 3
3 4

Graph 14_sub
4 3
13 19 11 19 
1 4
1 3
1 2

Graph 15_sub
4 3
8 14 18 11 
1 4
1 3
1 2

Graph 16_sub
4 3
17 17 12 12 
1 4
1 3
1 2

Graph 17_sub
4 3
6 11 20 16 
1 4
1 3
1 2

Graph 18_sub
4 3
18 5 22 10 
1 4
1 3
1 2

Graph 19_sub
4 3
21 18 14 12 
1 4
1 3
1 2

Graph 20_sub
4 3
7 13 18 18 
1 4
1 3
1 2

Graph 21_sub
4 3
18 22 15 9 
1 4
1 3
1 2

Graph 22_sub
4 4
12 4 13 16 
1 3
1 2
2 4
2 3

Graph 23_sub
4 3
10 0 16 17 
1 2
2 4
2 3

Graph 24_sub
4 3
14 20 12 18 
1 3
1 2
2 4

Graph 25_sub
4 3
17 8 20 12 
1 4
1 3
1 2

Graph 26_sub
4 3
11 10 14 6 
1 4
1 3
1 2

Graph 27_sub
4 3
9 26 4 20 
1 4
1 3
1 2

Graph 28_sub
4 3
15 8 17 7 
1 4
1 3
1 2

Graph 29_sub
4 3
20 14 18 14 
1 4
1 3
1 2

Graph 30_sub
4 3
17 17 19 13 
1 4
1 3
1 2

Graph 63_sub
4 3
16 17 10 11 
1 4
1 3
1 2

Graph 32_sub
4 3
17 24 17 17 
1 4
1 3
1 2

Graph 33_sub
4 3
19 6 19 11 
1 4
1 3
1 2

Graph 34_sub
4 3
17 7 21 4 
1 4
1 3
1 2

Graph 35_sub
4 3
9 7 14 0 
1 4
1 3
1 2

Graph 36_sub
4 3
15 16 20 20 
1 4
1 3
1 2

Graph 37_sub
4 4
8 17 17 15 
1 3
1 2
2 3
3 4

Graph 38_sub
4 3
20 16 18 17 
1 2
2 4
2 3

Graph 39_sub
4 3
13 9 21 16 
1 4
1 3
1 2

Graph 40_sub
4 3
11 15 23 14 
1 4
1 3
1 2

Graph 41_sub
4 3
16 17 6 12 
1 4
1 3
1 2

Graph 42_sub
4 3
15 13 14 19 
1 3
